n_guided,n_free,feeders_1,feeders_2,drop_1,drop_2,is_guided_1,is_guided_2,is_guided_3,is_guided_4,is_guided_5,is_guided_6,is_guided_7,is_guided_8,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,releasetime_1,releasetime_2,filename,date,time,delaytime,folderdate,rat,foldername,n_games,str_date,str_time,datetime,version,homebase15
0,8,4,6,1,4,0,0,0,0,0,0,0,0,6,6,4,6,6,4,4,4,4,4,1,4,4,1,1,1,100,100,Game1,20210329,113042,0,32921,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/032921,301,20210329,113042,29-Mar-2021 11:30:42,ee_alterhb,1
0,3,2,8,1,2,0,0,0,NaN,NaN,NaN,NaN,NaN,8,8,8,NaN,NaN,NaN,NaN,NaN,2,2,2,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210329,113042,0,32921,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/032921,301,20210329,113042,29-Mar-2021 11:30:42,ee_alterhb,2
0,8,4,6,4,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,100,Game1,20210329,113042,0,32921,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/032921,301,20210329,113042,29-Mar-2021 11:30:42,ee_alterhb,1
0,3,2,8,4,1,0,0,0,NaN,NaN,NaN,NaN,NaN,8,8,8,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210329,113042,0,32921,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/032921,301,20210329,113042,29-Mar-2021 11:30:42,ee_alterhb,2
0,8,4,6,2,5,0,0,0,0,0,0,0,0,4,4,4,6,4,6,6,6,2,2,2,5,2,5,5,5,100,100,Game1,20210329,113042,0,32921,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/032921,301,20210329,113042,29-Mar-2021 11:30:42,ee_alterhb,1
0,3,2,8,1,4,0,0,0,NaN,NaN,NaN,NaN,NaN,2,8,8,NaN,NaN,NaN,NaN,NaN,1,4,4,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210329,113042,0,32921,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/032921,301,20210329,113042,29-Mar-2021 11:30:42,ee_alterhb,2
0,8,4,6,5,4,0,0,0,0,0,0,0,0,6,6,6,6,6,6,4,6,4,4,4,4,4,4,5,4,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,2,1,0,0,0,NaN,NaN,NaN,NaN,NaN,8,8,2,NaN,NaN,NaN,NaN,NaN,1,1,2,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,4,2,0,0,0,0,0,0,0,0,6,6,4,6,4,6,4,4,2,2,4,2,4,2,4,4,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,3,0,0,0,0,NaN,NaN,NaN,NaN,NaN,8,2,8,NaN,NaN,NaN,NaN,NaN,0,3,0,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,3,3,0,0,0,0,0,0,0,0,6,4,4,4,6,4,4,4,3,3,3,3,3,3,3,3,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,2,1,0,0,0,NaN,NaN,NaN,NaN,NaN,8,2,8,NaN,NaN,NaN,NaN,NaN,1,2,1,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,3,1,0,0,0,0,0,0,0,0,6,6,4,4,4,6,6,4,1,1,3,3,3,1,1,3,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,8,2,8,NaN,NaN,NaN,NaN,NaN,1,0,1,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,4,4,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,5,1,0,0,0,NaN,NaN,NaN,NaN,NaN,8,8,8,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,2,4,0,0,0,0,0,0,0,0,4,4,6,6,6,4,6,4,2,2,4,4,4,2,4,2,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,3,2,0,0,0,NaN,NaN,NaN,NaN,NaN,8,8,8,NaN,NaN,NaN,NaN,NaN,2,2,2,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,1,5,0,0,0,0,0,0,0,0,6,6,6,6,4,6,6,4,5,5,5,5,1,5,5,1,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,8,2,8,NaN,NaN,NaN,NaN,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,0,1,0,0,0,0,0,0,0,0,4,6,4,6,4,6,4,6,0,1,0,1,0,1,0,1,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,3,5,0,0,0,NaN,NaN,NaN,NaN,NaN,2,8,8,NaN,NaN,NaN,NaN,NaN,3,5,5,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,3,4,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,3,4,0,0,0,NaN,NaN,NaN,NaN,NaN,8,8,8,NaN,NaN,NaN,NaN,NaN,4,4,4,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,2,0,0,0,0,0,0,0,0,0,6,6,4,6,4,6,4,4,0,0,2,0,2,0,2,2,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,5,3,0,0,0,NaN,NaN,NaN,NaN,NaN,8,8,8,NaN,NaN,NaN,NaN,NaN,3,3,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,5,0,0,0,0,0,0,0,0,0,6,6,4,6,4,6,4,4,0,0,5,0,5,0,5,5,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
0,3,2,8,4,4,0,0,0,NaN,NaN,NaN,NaN,NaN,8,8,8,NaN,NaN,NaN,NaN,NaN,4,4,4,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,2
0,8,4,6,3,4,0,0,0,0,0,0,0,0,6,4,4,6,6,4,6,4,4,3,3,4,4,3,4,3,100,100,Game1,20210330,110616,0,33021,Twenty,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Twenty/RawData/033021,283,20210330,110616,30-Mar-2021 11:06:16,ee_alterhb,1
