n_guided,n_free,feeders_1,feeders_2,feeders_3,drop_1,drop_2,drop_3,is_guided_1,is_guided_2,is_guided_3,is_guided_4,is_guided_5,is_guided_6,is_guided_7,is_guided_8,is_guided_9,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,releasetime_1,releasetime_2,releasetime_3,filename,date,time,delaytime,folderdate,rat,foldername,n_games,str_date,str_time,datetime,version,homebase15
3,1,2,8,NaN,3,2,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,8,8,8,NaN,NaN,NaN,NaN,NaN,2,2,2,2,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,2
3,6,4,6,NaN,0,5,NaN,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,0,0,0,5,5,5,5,5,5,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,1
0,1,2,3,8,3,1,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,4,6,7,5,3,3,1,1,1,0,0,0,0,0,0,6,6,6,6,4,4,4,4,4,3,3,3,3,5,5,5,5,5,90,90,90,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,1,2,8,NaN,2,1,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,2,2,8,NaN,NaN,NaN,NaN,NaN,2,2,2,1,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,2
3,6,3,4,6,1,2,1,1,1,1,0,0,0,0,0,0,6,6,6,4,4,4,4,4,6,1,1,1,2,2,2,2,2,1,90,90,90,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
0,1,2,7,8,5,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,4,6,7,1,3,3,1,1,1,0,0,0,0,0,0,6,6,6,6,6,4,6,6,6,3,3,3,3,3,1,3,3,3,90,90,90,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
0,1,2,7,8,5,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,4,6,NaN,2,0,NaN,1,1,1,0,0,0,0,0,0,6,6,6,4,4,4,4,4,4,0,0,0,2,2,2,2,2,2,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,1
0,1,2,3,8,5,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,4,6,7,5,3,5,1,1,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,90,90,90,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
0,1,2,7,8,1,1,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,3,4,6,5,1,3,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,4,4,6,1,1,1,3,3,3,1,1,3,90,90,90,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
0,1,2,3,8,3,2,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,4,6,7,2,3,2,1,1,1,0,0,0,0,0,0,6,6,6,6,4,4,6,6,6,3,3,3,3,2,2,3,3,3,90,90,90,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
0,1,2,3,8,1,2,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,3,4,6,1,2,3,1,1,1,0,0,0,0,0,0,4,4,4,4,4,4,4,6,6,2,2,2,2,2,2,2,3,3,90,90,90,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
0,1,2,3,8,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,4,6,NaN,2,1,NaN,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,4,4,2,2,2,1,1,1,1,2,2,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,1
0,1,2,3,8,2,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,4,6,NaN,1,3,NaN,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,1,1,1,3,3,3,3,3,3,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,1
0,1,2,7,8,5,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,3,4,6,1,0,5,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,90,90,90,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
0,1,2,7,8,1,2,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,4,6,7,1,5,1,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,90,90,90,Game1,20200515,113802,0,51520,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051520,394,20200515,113802,15-May-2020 11:38:02,ee_3lights,0
3,6,4,6,NaN,1,3,NaN,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,1,1,1,3,3,3,3,3,3,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,1
3,1,2,8,NaN,2,5,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,8,8,8,NaN,NaN,NaN,NaN,NaN,5,5,5,5,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,2
3,6,4,6,7,2,0,2,1,1,1,0,0,0,0,0,0,6,6,6,4,6,4,6,6,4,0,0,0,2,0,2,0,0,2,90,90,90,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
3,1,2,8,NaN,1,0,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,2,2,8,NaN,NaN,NaN,NaN,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,2
3,6,3,4,6,5,5,2,1,1,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,90,90,90,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
0,1,2,7,8,1,1,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
3,6,3,4,6,1,5,1,1,1,1,0,0,0,0,0,0,6,6,6,4,4,4,4,4,4,1,1,1,5,5,5,5,5,5,90,90,90,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
0,1,2,3,8,2,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
3,6,3,4,6,2,5,2,1,1,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,90,90,90,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
0,1,2,3,8,1,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
3,6,4,6,7,0,3,2,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,4,6,6,0,0,0,3,3,3,0,3,3,90,90,90,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
0,1,2,7,8,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
3,6,3,4,6,0,5,2,1,1,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,90,90,90,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
0,1,2,3,8,5,3,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
3,6,4,6,NaN,1,2,NaN,1,1,1,0,0,0,0,0,0,6,6,6,4,4,6,6,4,6,2,2,2,1,1,2,2,1,2,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,1
3,1,2,8,NaN,5,0,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,2,2,2,NaN,NaN,NaN,NaN,NaN,5,5,5,5,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,2
3,6,3,4,6,3,5,3,1,1,1,0,0,0,0,0,0,4,4,4,3,4,6,6,6,4,5,5,5,3,5,3,3,3,5,90,90,90,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
0,1,2,7,8,5,5,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
3,6,4,6,7,3,1,1,1,1,1,0,0,0,0,0,0,4,4,4,6,4,4,4,4,4,3,3,3,1,3,3,3,3,3,90,90,90,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,0
3,1,2,8,NaN,3,2,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,2,2,2,NaN,NaN,NaN,NaN,NaN,3,3,3,3,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,2
3,6,4,6,NaN,2,1,NaN,1,1,1,0,0,0,0,0,0,6,6,6,4,6,4,4,4,4,1,1,1,2,1,2,2,2,2,90,NaN,NaN,Game1,20200516,102153,0,51620,Rizzo,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Rizzo/RawData/051620,305,20200516,102153,16-May-2020 10:21:53,ee_3lights,1
